Received Ninja Tokens,Price in BNB,Total BNB,Total Ninja Sold
15708.2996598417090347,0.000318303069604822,5,15708.2996598417090347
14069.869198145065889336,0.000355369330701324,10,29778.168857986774924036
12755.065022389258817446,0.000392001137683217,15,42533.233880376033741482
11675.436302595217421646,0.000428249520652911,20,54208.670182971251163128
10772.26285125738209583,0.000464155031216712,25,64980.933034228633258958
10004.989182751952086689,0.00049975066526006,30,74985.922216980585345647
9344.680211190257342973,0.000535063788915162,35,84330.60242817084268862
8770.122557997183490165,0.000570117460381516,40,93100.724986168026178785
8265.400451070310315943,0.000604931367766039,45,101366.125437238336494728
7818.333048601880474607,0.000639522513164635,50,109184.458485840216969335
7419.43542812742398082,0.000673905723479278,55,116603.893913967640950155
7061.208992516249235425,0.000708094039604152,60,123665.10290648389018558
6737.645351381027063282,0.00074209901816443,65,130402.748257864917248862
6443.872199133668600383,0.000775930969064255,70,136846.620456998585849245
6175.895849923854442473,0.000809599145047377,75,143022.516306922440291718
5930.41093459255363226,0.000843111894798825,80,148952.927241514993923978
5704.657634722062220288,0.000876476787943752,85,154657.584876237056144266
5496.31312859998608959,0.000909700718101843,90,160153.898004837042233856
5303.408034065026647992,0.000942789988604277,95,165457.306038902068881848
5124.261368593062812756,0.000975750384366677,100,170581.567407495131694604
4957.429400639494024955,0.001008587232599825,105,175538.996808134625719559
4801.665043316674464473,0.001041305454440097,110,180340.661851451300184032
4655.885334742567925398,0.001073909609132686,115,184996.54718619386810943
4519.145182977803720914,0.001106403932060741,120,189515.692369171671830344
4390.616008696169241668,0.001138792367653392,125,193906.308377867841072012
4269.568249748241758589,0.00117107859800457,130,198175.876627616082830601
4155.356935161727786281,0.001203266067877607,135,202331.233562777810616882
4047.409716937082163668,0.001235358006647224,140,206378.64327971489278055
3945.216883634505513163,0.001267357447632582,145,210323.860163349398293713
3848.322982422526799404,0.001299267245196891,150,214172.183145771925093117
3756.319754643835111002,0.001331090089926087,155,217928.502900415760204119
3668.84015027705712855,0.001362828522148183,160,221597.343050692817332669
3585.553233446996558764,0.001394484944013288,165,225182.896284139813891433
3506.159827662555935336,0.001426061630320298,170,228689.056111802369826769
3430.388778178441754427,0.001457560738248167,175,232119.444889980811581196
3357.99373159777609937,0.001488984316126443,180,235477.438621578587680566
3288.75035091859648684,0.00152033431136037,185,238766.188972497184167406
3222.453898706232813824,0.001551612577609698,190,241988.64287120341698123
3158.917132728337770045,0.001582820881306731,195,245147.560003931754751275
3097.968467819576483718,0.001613960907587648,200,248245.528471751331234993
3039.450365411065823286,0.001645034265701451,205,251284.978837162397058279
2983.217918424349529034,0.001676042493952589,210,254268.196755586746587313
2929.137604370958577013,0.001706987064226286,215,257197.334359957705164326
2877.086183736117126845,0.001737869386139526,220,260074.420543693822291171
2826.949724232211616334,0.001768690810855499,225,262901.370267926033907505
2778.622734421649183674,0.001799452634594784,230,265679.993002347683091179
2732.007392639168512565,0.001830156101872736,235,268412.000394986851603744
2687.012859178164117065,0.001860802408489133,240,271099.013254165015720809
2643.554661414605632118,0.00189139270429325,245,273742.567915579621352927
2601.554142982575865493,0.001921928095744993,250,276344.12205856219721842
2560.93796933345228559,0.001952409648290455,255,278905.06002789564950401
2521.637683043875848935,0.001982838388568371,260,281426.697710939525352945
2483.589303116582508383,0.002013215306462162,265,283910.287014056107861328
2446.732963268092183126,0.002043541357010827,270,286357.019977324200044454
2411.01258483888060867,0.002073817462190531,275,288768.032562163080653124
2376.375580512117939752,0.002104044512577629,280,291144.408142675198592876
2342.772585500528802252,0.002134223368902773,285,293487.180728175727395128
2310.157213269204030762,0.002164354863504844,290,295797.33794144493142589
2278.48583321510848664,0.002194439801692617,295,298075.82377466003991253
2247.717368029807351088,0.002224478963021339,300,300323.541142689847263618
2217.813108737474732256,0.002254473102490736,305,302541.354251427321995874
2188.736545631357147245,0.002284422951670372,310,304730.090797058679143119
2160.453213533435768902,0.002314329219757768,315,306890.544010592114912021
2132.930549978205153912,0.002344192594574207,320,309023.474560570320065933
2106.13776507577244346,0.002374013743502726,325,311129.612325646092509393
2080.045721944862969821,0.002403793314372412,330,313209.658047590955479214
2054.626826725337426331,0.002433531936292779,335,315264.284874316292905545
2029.854927284652687287,0.002463230220441677,340,317294.139801600945592832
2005.705219825190632496,0.002492888760809916,345,319299.845021426136225328
1982.154162681130355075,0.002522508134905524,350,321281.999184107266580403
1959.179396665918610241,0.002552088904420326,355,323241.178580773185190644
1936.759671395581135962,0.002581631615861313,360,325177.938252168766326606
1914.874777070131892883,0.002611136801149099,365,327092.813029238898219489
1893.50548124605902357,0.002640604978185566,370,328986.318510484957243059
1872.633470178058522616,0.002670036651392638,375,330858.951980663015765675
1852.241294348511685587,0.002699432312224012,380,332711.193275011527451262
1832.312317839236478287,0.002728792439651486,385,334543.505592850763929549
1812.830671232287954762,0.00275811750062746,390,336356.336264083051884311
1793.781207755476784197,0.002787407950525026,395,338150.117471838528668508
1775.149462414200744839,0.002816664233556991,400,339925.266934252729413347
1756.921613874477001932,0.002845886783175076,405,341682.188548127206415279
1739.084448883017168623,0.002875076022450439,410,343421.272997010223583902
1721.625329029060857908,0.002904232364436594,415,345142.89832603928444181
1704.532159669703910051,0.002933356212515741,420,346847.430485708988351861
1687.793360855824934432,0.002962447960729424,425,348535.223846564813286293
1671.39784010960489067,0.002991507994094401,430,350206.621686674418176963
1655.334966917205240989,0.003020536688904539,435,351861.956653591623417952
1639.594548811558846133,0.003049534413019482,440,353501.551202403182264085
1624.166808930556621803,0.003078501526140829,445,355125.718011333738885888
