Received Ninja Tokens,Price in BNB,Total BNB,Total Ninja Sold
29778.168857986774924037,0.0003358164851469,10,29778.168857986774924037
24430.501324984476239092,0.000409324387861547,20,54208.670182971251163129
20777.25203400933418252,0.000481295600767197,30,74985.922216980585345649
18114.802769187440833138,0.000552034715884933,40,93100.724986168026178787
16083.73349967219079055,0.000621746188483153,50,109184.458485840216969337
14480.644420643673216245,0.000690577001237869,60,123665.102906483890185582
13181.517550514695663665,0.000758637991542144,70,136846.620456998585849247
12106.306784516408074734,0.000826015743528793,80,148952.927241514993923981
11200.970763322048309878,0.000892779760906557,90,160153.898004837042233859
10427.669402658089460748,0.000958987057784065,100,170581.567407495131694607
9759.094443956168489428,0.001024685236671013,110,180340.661851451300184035
9175.030517720371646313,0.001089914630876301,120,189515.692369171671830348
8660.184258444411000257,0.001154709842374214,130,198175.876627616082830605
8202.766652098809949949,0.001219100874634942,140,206378.643279714892780554
7793.539866057032312568,0.001283113985668142,150,214172.183145771925093122
7425.159904920892239553,0.001346772342690246,160,221597.343050692817332675
7091.7130611095524941,0.001410096532929298,170,228689.056111802369826775
6788.382509776217853797,0.001473104968024209,180,235477.438621578587680572
6511.204249624829300665,0.00153581420834344,190,241988.642871203416981237
6256.885600547914253764,0.001598239226097453,200,248245.528471751331235001
6022.668283835415352321,0.001660393621020034,210,254268.196755586746587322
5806.223788107075703858,0.00172228979883329,220,260074.42054369382229118
5605.572458653860800009,0.001783939120180676,230,265679.993002347683091189
5419.020251817332629631,0.001845352025884454,240,271099.01325416501572082
5245.108804397181497612,0.001906538143044164,250,276344.122058562197218432
5082.575652377328134525,0.00196750637549735,260,281426.697710939525352957
4930.322266384674691509,0.002028264981415269,270,286357.019977324200044466
4787.388165350998548422,0.002088821640237067,280,291144.408142675198592888
4652.929798769732833014,0.002149183510708472,290,295797.337941444931425902
4526.203201244915837728,0.0022093572814516,300,300323.54114268984726363
4406.549654368831879501,0.002269349215226837,310,304730.090797058679143131
4293.383763511640922814,0.00232916518783795,320,309023.474560570320065945
4186.183487020635413281,0.002388810722464804,330,313209.658047590955479226
4084.481754009990113618,0.002448291020074303,340,317294.139801600945592844
3987.859382506320987572,0.002507610986452366,350,321281.999184107266580416
3895.939068061499746204,0.00256677525631213,360,325177.93825216876632662
3808.380258316190916453,0.002625788214862064,370,328986.318510484957243073
3724.874764526570208204,0.002684654017158881,380,332711.193275011527451277
3645.14298907152443305,0.002743376605521628,390,336356.336264083051884327
3568.930670169677529036,0.002801959725243015,400,339925.266934252729413363
3496.006062757494170556,0.002860406938800456,410,343421.272997010223583919
3426.157488698764767959,0.002918721638741114,420,346847.430485708988351878
3359.191200965429825102,0.002976907059391559,430,350206.62168667441817698
3294.929515728764087122,0.00303496628752261,440,353501.551202403182264102
3233.209173875847212096,0.003092902272082935,450,356734.760376279029476198
3173.879899666952246571,0.003150717833100533,460,359908.640275945981722769
3116.80312934712486576,0.003208415669838824,470,363025.443405293106588529
3061.850886733810621033,0.003265998368283495,480,366087.294292026917209562
3008.904786291083783643,0.003323468408027116,490,369096.199078318000993205
2957.855147104235495508,0.00338082816861065,500,372054.054225422236488713
2908.600203593472311123,0.003438079935374189,510,374962.654429015708799836
2861.045400838289864214,0.003495225904863301,520,377823.69982985399866405
2815.102764094014494006,0.003552268189832247,530,380638.802593948013158056
2770.690333525098090714,0.003609208823880792,540,383409.49292747311124877
2727.731656401529827097,0.003666049765757446,550,386137.224583874641075867
